review,sentiment
One reviewer mentioned watching 1 Oz episode youll hooked right exactly happened meThe first thing struck Oz brutality unflinching scene violence set right word GO Trust show faint hearted timid show pull punch regard drug sex violence hardcore classic use wordIt called OZ nickname given Oswald Maximum Security State Penitentary focus mainly Emerald City experimental section prison cell glass front face inwards privacy high agenda Em City home manyAryans Muslims gangsta Latinos Christians Italians Irish moreso scuffle death stare dodgy dealing shady agreement never far awayI would say main appeal show due fact go show wouldnt dare Forget pretty picture painted mainstream audience forget charm forget romanceOZ doesnt mess around first episode ever saw struck nasty surreal couldnt say ready watched developed taste Oz got accustomed high level graphic violence violence injustice crooked guard wholl sold nickel inmate wholl kill order get away well mannered middle class inmate turned prison bitch due lack street skill prison experience Watching Oz may become comfortable uncomfortable viewingthats get touch darker side,positive
wonderful little production filming technique unassuming oldtimeBBC fashion give comforting sometimes discomforting sense realism entire piece actor extremely well chosen Michael Sheen got polari voice pat truly see seamless editing guided reference Williams diary entry well worth watching terrificly written performed piece masterful production one great master comedy life realism really come home little thing fantasy guard rather use traditional dream technique remains solid disappears play knowledge sens particularly scene concerning Orton Halliwell set particularly flat Halliwells mural decorating every surface terribly well done,positive
thought wonderful way spend time hot summer weekend sitting air conditioned theater watching lighthearted comedy plot simplistic dialogue witty character likable even well bread suspected serial killer may disappointed realize Match Point 2 Risk Addiction thought proof Woody Allen still fully control style many u grown loveThis Id laughed one Woodys comedy year dare say decade Ive never impressed Scarlet Johanson managed tone sexy image jumped right average spirited young womanThis may crown jewel career wittier Devil Wears Prada interesting Superman great comedy go see friend,positive
Basically there family little boy Jake think there zombie closet parent fighting timeThis movie slower soap opera suddenly Jake decides become Rambo kill zombieOK first youre going make film must Decide thriller drama drama movie watchable Parents divorcing arguing like real life Jake closet totally ruin film expected see BOOGEYMAN similar movie instead watched drama meaningless thriller spots3 10 well playing parent descent dialog shot Jake ignore,negative
Petter Matteis Love Time Money visually stunning film watch Mr Mattei offer u vivid portrait human relation movie seems telling u money power success people different situation encounter variation Arthur Schnitzlers play theme director transfer action present time New York different character meet connect one connected one way another next person one seems know previous point contact Stylishly film sophisticated luxurious look taken see people live world live habitatThe thing one get soul picture different stage loneliness one inhabits big city exactly best place human relation find sincere fulfillment one discerns case people encounterThe acting good Mr Matteis direction Steve Buscemi Rosario Dawson Carol Kane Michael Imperioli Adrian Grenier rest talented cast make character come aliveWe wish Mr Mattei good luck await anxiously next work,positive
Probably alltime favorite movie story selflessness sacrifice dedication noble cause preachy boring never get old despite seen 15 time last 25 year Paul Lukas performance brings tear eye Bette Davis one truly sympathetic role delight kid grandma say like dressedup midget child make fun watch mother slow awakening whats happening world roof believable startling dozen thumb theyd movie,positive
sure would like see resurrection dated Seahunt series tech today would bring back kid excitement meI grew black white TV Seahunt Gunsmoke hero every weekYou vote comeback new sea huntWe need change pace TV would work world water adventureOh way thank outlet like view many viewpoint TV many moviesSo ole way believe Ive got wanna sayWould nice read plus point sea huntIf rhyme would 10 line would let submitor leave doubt quitIf must go let,positive
show amazing fresh innovative idea 70 first aired first 7 8 year brilliant thing dropped 1990 show really funny anymore continued decline complete waste time todayIts truly disgraceful far show fallen writing painfully bad performance almost bad mildly entertaining respite guesthosts show probably wouldnt still air find hard believe creator handselected original cast also chose band hack followed one recognize brilliance see fit replace mediocrity felt must give 2 star respect original cast made show huge success show awful cant believe still air,negative
Encouraged positive comment film looking forward watching film Bad mistake Ive seen 950 film truly one worst awful almost every way editing pacing storyline acting soundtrack film song lame country tune played le four time film look cheap nasty boring extreme Rarely happy see end credit film thing prevents giving 1score Harvey Keitel far best performance least seems making bit effort One Keitel obsessive,negative
like original gut wrenching laughter like movie young old love movie hell even mom liked itGreat Camp,positive
